barrio,año,trimestre,precio_prom,ambientes,estado,comuna
COGHLAN,2010,3,,2 ambientes,Usado,12
COGHLAN,2010,4,,2 ambientes,Usado,12
COGHLAN,2011,1,,2 ambientes,Usado,12
COGHLAN,2011,2,,2 ambientes,Usado,12
COGHLAN,2011,3,,2 ambientes,Usado,12
COGHLAN,2011,4,,2 ambientes,Usado,12
COGHLAN,2012,1,,2 ambientes,Usado,12
COGHLAN,2012,2,,2 ambientes,Usado,12
COGHLAN,2012,3,,2 ambientes,Usado,12
COGHLAN,2012,4,,2 ambientes,Usado,12
COGHLAN,2013,1,,2 ambientes,Usado,12
COGHLAN,2013,2,,2 ambientes,Usado,12
COGHLAN,2013,3,,2 ambientes,Usado,12
COGHLAN,2013,4,,2 ambientes,Usado,12
COGHLAN,2014,1,,2 ambientes,Usado,12
COGHLAN,2014,2,,2 ambientes,Usado,12
COGHLAN,2014,3,,2 ambientes,Usado,12
COGHLAN,2014,4,,2 ambientes,Usado,12
COGHLAN,2015,1,2312,2 ambientes,Usado,12
COGHLAN,2015,2,2323,2 ambientes,Usado,12
COGHLAN,2015,3,2409,2 ambientes,Usado,12
COGHLAN,2015,4,2397,2 ambientes,Usado,12
COGHLAN,2016,1,2449,2 ambientes,Usado,12
COGHLAN,2016,2,2490,2 ambientes,Usado,12
COGHLAN,2016,3,2480,2 ambientes,Usado,12
COGHLAN,2016,4,2492,2 ambientes,Usado,12
COGHLAN,2017,1,2732,2 ambientes,Usado,12
COGHLAN,2017,2,2778,2 ambientes,Usado,12
COGHLAN,2017,3,2801,2 ambientes,Usado,12
COGHLAN,2017,4,3214,2 ambientes,Usado,12
COGHLAN,2018,1,,2 ambientes,Usado,12
COGHLAN,2018,2,,2 ambientes,Usado,12
COGHLAN,2018,3,,2 ambientes,Usado,12
COGHLAN,2018,4,3558,2 ambientes,Usado,12
COGHLAN,2019,1,3516,2 ambientes,Usado,12
COGHLAN,2019,2,3276,2 ambientes,Usado,12
COLEGIALES,2010,1,1794,2 ambientes,Usado,13
COLEGIALES,2010,2,,2 ambientes,Usado,13
COLEGIALES,2010,3,2001,2 ambientes,Usado,13
COLEGIALES,2010,4,,2 ambientes,Usado,13
COLEGIALES,2011,1,,2 ambientes,Usado,13
COLEGIALES,2011,2,2163,2 ambientes,Usado,13
COLEGIALES,2011,3,,2 ambientes,Usado,13
COLEGIALES,2011,4,,2 ambientes,Usado,13
COLEGIALES,2012,1,,2 ambientes,Usado,13
COLEGIALES,2012,2,,2 ambientes,Usado,13
COLEGIALES,2012,3,,2 ambientes,Usado,13
COLEGIALES,2012,4,,2 ambientes,Usado,13
COLEGIALES,2013,1,,2 ambientes,Usado,13
COLEGIALES,2013,2,,2 ambientes,Usado,13
COLEGIALES,2013,3,,2 ambientes,Usado,13
COLEGIALES,2013,4,,2 ambientes,Usado,13
COLEGIALES,2014,1,,2 ambientes,Usado,13
COLEGIALES,2014,2,,2 ambientes,Usado,13
COLEGIALES,2014,3,,2 ambientes,Usado,13
COLEGIALES,2014,4,,2 ambientes,Usado,13
COLEGIALES,2015,1,2532,2 ambientes,Usado,13
COLEGIALES,2015,2,2558,2 ambientes,Usado,13
COLEGIALES,2015,3,2582,2 ambientes,Usado,13
COLEGIALES,2015,4,2510,2 ambientes,Usado,13
COLEGIALES,2016,1,2662,2 ambientes,Usado,13
COLEGIALES,2016,2,2747,2 ambientes,Usado,13
COLEGIALES,2016,3,2826,2 ambientes,Usado,13
COLEGIALES,2016,4,2886,2 ambientes,Usado,13
COLEGIALES,2017,1,2846,2 ambientes,Usado,13
COLEGIALES,2017,2,2852,2 ambientes,Usado,13
COLEGIALES,2017,3,2915,2 ambientes,Usado,13
COLEGIALES,2017,4,3118,2 ambientes,Usado,13
COLEGIALES,2018,1,3282,2 ambientes,Usado,13
COLEGIALES,2018,2,3353,2 ambientes,Usado,13
COLEGIALES,2018,3,3405,2 ambientes,Usado,13
COLEGIALES,2018,4,3467,2 ambientes,Usado,13
COLEGIALES,2019,1,3524,2 ambientes,Usado,13
COLEGIALES,2019,2,3407,2 ambientes,Usado,13
CONSTITUCION,2010,1,1254,2 ambientes,Usado,1
CONSTITUCION,2010,2,1300,2 ambientes,Usado,1
CONSTITUCION,2010,3,1294,2 ambientes,Usado,1
CONSTITUCION,2010,4,1298,2 ambientes,Usado,1
CONSTITUCION,2011,1,1287,2 ambientes,Usado,1
CONSTITUCION,2011,2,1330,2 ambientes,Usado,1
CONSTITUCION,2011,3,1445,2 ambientes,Usado,1
CONSTITUCION,2011,4,,2 ambientes,Usado,1
CONSTITUCION,2012,1,,2 ambientes,Usado,1
CONSTITUCION,2012,2,,2 ambientes,Usado,1
CONSTITUCION,2012,3,,2 ambientes,Usado,1
CONSTITUCION,2012,4,,2 ambientes,Usado,1
CONSTITUCION,2013,1,,2 ambientes,Usado,1
CONSTITUCION,2013,2,,2 ambientes,Usado,1
